trial,discrim,success,failure reason,time in homezone,pull duration,reward duration,joystick_zone_enter,joystick_zone_exit,discrim_delay,go_cue_delay,homezone_enter_ts,DiscrimDisplay,GoCue_Display,ExitHomeZone,JoystickPull,JoystickRelease,water_dispense,joystick_zone_enter,joystick_zone_exit
87,monkey3,TRUE,,0,5.604331844999933,1,79855.87593,,0.5315515141378953,0.8756053924130596,868.8572,861.4720975,862.3826404109859,,862.5384249999915,868.1384249999828,868.6791489789903,862.7733499999886,868.5402499999909
88,monkey3,TRUE,,0,5.400455246000092,1,79865.59278,,0.5596239840491394,0.5884499111966228,878.4904749999841,871.2594778369967,871.8652870639926,,872.2784249999822,877.6494249999814,878.1991617989988,872.4901999999856,878.1737999999896
89,bOval,TRUE,,0,0.832649097,0.6771428571282221,79878.91,,0.8907865838094149,0.5627575821006776,881.7238499999949,881.1379594749887,881.7337885390007,,885.5884249999945,886.4184249999817,886.9082760309975,885.8074249999918,886.523825
90,monkey3,FALSE,joystick not pulled within MaxTimeAfterSound,0,0,0,,,0.5465810623518896,0.36665224305116234,896.3741249999875,889.2098178089946,889.5744030849892,,885.5884249999945,886.4184249999817,,,
91,bOval,TRUE,,0,0.920686414,0.6531428571391318,79905.71053,,0.7144746927070593,0.7696083911091997,910.7909499999951,906.5535164350003,907.3348326669948,,912.2784249999822,913.1694249999855,913.7291967799974,912.6079499999905,913.5411749999912
92,sun,TRUE,,0,2.5118524060000027,0.706666667,79916.46078,,0.8263018628678869,0.5714338407808748,926.1584249999869,916.2647549,916.8782592199859,,923.198425,925.7184249999846,926.2518598849856,923.3581999999878,925.7246749999904
93,sun,TRUE,,0,2.3998699380000517,0.5900000000149399,79923.3609,,0.838545573,0.3081245862468194,933.224825,928.8474931789824,929.1732440289779,,930.0284249999822,932.448425,932.9942573949811,930.258325,932.9246999999887
94,sun,TRUE,,0,2.886715202000005,0.47333333332790084,79931.17745,,0.6259262120010255,0.8787630797971309,941.3750249999866,935.2399588719854,936.1343580529792,,937.9684249999846,940.8484249999892,941.3883376019803,938.0748749999912,940.9085499999928
95,bOval,TRUE,,0,1.050037947000078,0.4942857142870447,79944.94448,,0.5585266740148154,0.510702529,941.9250999999931,943.3697466739977,943.8977955339942,,951.3984249999921,952.428425,952.8526316329953,951.8418999999849,952.5420249999879
96,monkey3,TRUE,,0,5.011556758999973,1,79952.22783,,0.7662948814929148,0.833890081,964.4590999999928,955.2735842079856,956.1193170509941,,958.7384249999886,963.7684249999875,964.2725230709912,959.1252499999828,964.209
97,sun,TRUE,,0,2.7585867430000235,0.6016666666619133,79966.82818,,0.5613931298094973,0.3115677902107994,977.0423499999888,966.8980974709848,967.2404798,,973.628425,976.3984249999921,976.9593962439831,973.7255999999907,976.5923249999905
98,bOval,TRUE,,0,1.0502768600000536,0.48285714286446035,79981.69513,,0.612059683,0.5360586738497368,989.4259249999886,979.2003748,979.7562748959899,,988.0374249999877,989.0774249999813,989.6421068619966,988.5925499999867,989.075875
99,bOval,TRUE,,0,0.5991704199998367,0.40285714286978225,79986.94525,,0.8797111726608555,0.5237726890703301,994.4762249999912,992.0629453979927,992.6148042699933,,993.358425,993.948425,994.5294029739889,993.8426749999926,994.1597249999904
100,sun,TRUE,,0,2.4119176359999983,0.6016666666754948,79991.74535,,0.8153718860488426,0.9853035787251017,1001.7097749999812,996.7706880849873,997.7808159289852,,998.4184249999817,1000.8484249999892,1001.3693344929925,998.6427749999857,1001.326499999981
101,bOval,TRUE,,0,0.8996241830000145,0.6531428571391318,80003.54558,,0.7004493858090077,0.9811674612221197,1011.7431249999936,1003.6991515989939,1004.6698178009974,,1010.2974249999825,1011.1884249999857,1011.7273019539862,1010.4429999999847,1011.4931749999814
102,bOval,TRUE,,0,0.6412019419999524,0.4371428571375353,80008.5957,,0.5596947949442168,0.6399003829639807,1016.5102999999945,1013.9747722209868,1014.6281661209796,,1015.2684249999875,1015.8884249999828,1016.4282158989809,1015.4931249999936,1016.2264749999886
103,sun,FALSE,joystick pulled for incorrect amount of time,0,0.6133027589999074,0,80013.1291,,0.860630806,0.31947064466040886,1021.5102999999945,1018.7182422579936,1019.063273473992,,1019.7874249999877,1020.4174249999924,,1020.0265249999939,1021.2103499999939
104,sun,TRUE,,0,2.6534246900000653,0.7416666666734577,80025.06298,,0.526516747,0.6526076219634345,1034.9936249999882,1027.2780330179958,1027.9817328569916,,1031.7284249999939,1034.378424999988,1034.8890564139874,1031.9603999999817,1034.6604999999836
105,sun,FALSE,joystick pulled for incorrect amount of time,0,4.166522121000071,0,80035.11318,,0.7987220045812626,0.6868299398629276,1046.477274999983,1037.4831881629943,1038.1884221179935,,1041.8374249999906,1045.997424999994,,1042.0105999999942,1046.1437499999884
106,monkey3,TRUE,,0,4.294516869000063,0.6640000000130386,80051.07985,,0.7634060778496881,0.7787545734102531,1062.7940749999834,1053.0418635859824,1053.853351806989,,1057.7374249999848,1062.027424999993,1062.5428885159927,1057.977274999983,1062.4941999999864
107,sun,FALSE,joystick pulled for incorrect amount of time,0,1.6808500380000169,0,80060.83005,,0.5751199665999149,0.9467218946295877,1070.0112249999947,1064.8561951229785,1065.8294736829848,1072.5775999999896,1067.4874249999848,1069.1674249999924,,1067.7274749999924,1069.6461999999883
108,monkey3,TRUE,,0,4.912311927000019,1,80070.88028,,0.779870105,0.40404165590670355,1074.6444249999913,1076.2291976539855,1076.6865434769861,,1077.3374249999906,1082.277424999993,1082.767827948992,1077.7776999999915,1082.646499999988
109,sun,FALSE,joystick pulled for incorrect amount of time,0,3.513587801000085,0,80080.16405,,0.8484103235047312,0.6879922083073968,1090.6617499999847,1085.7006048069888,1086.4152564249962,,1086.8274249999813,1090.3674249999895,,1087.061474999995,1090.3447999999917
110,monkey3,TRUE,,0,5.318300653000051,1,80097.86425,,0.6385702697179825,0.8576203611617785,1110.495299999995,1097.2685041169898,1098.1369202629867,,1104.5074249999889,1109.8274249999813,1110.3401037879958,1104.761674999987,1110.1970999999903
111,sun,TRUE,,0,2.4341886859999704,0.5316666666782112,80107.94773,,0.8317910002961855,0.6136363986036686,1117.5786499999813,1113.2434121879924,1113.888592681993,,1114.6874249999819,1117.0574249999918,1117.6967147429968,1114.8451499999937,1117.0620999999956
112,sun,FALSE,joystick pulled for incorrect amount of time,0,1.8283654890001344,0,80118.49788,,0.7951093746281008,0.4466847924390994,1127.562374999994,1120.082136372992,1120.570736988986,,1125.2464249999903,1127.0664249999827,,1125.3952999999892,1127.2806749999872
113,sun,FALSE,joystick not pulled within MaxTimeAfterSound,0,0,0,,,0.7944000751397867,0.9515819097921909,1280.3818249999895,1134.1517868939845,1135.1170647309918,,1125.2464249999903,1127.0664249999827,,,
114,bOval,TRUE,,0,0.8001313160000336,0.6542857142996841,80577.42373,,0.5100720871814938,0.37071487326697106,1580.0546999999933,1577.4426727719983,1577.855883900993,,1584.2744249999814,1585.0844249999936,1585.5698706689873,1584.3211499999888,1585.1211249999906
115,monkey3,TRUE,,0,4.322883613000158,0.6959999999962747,80582.25738,,0.5527916836952034,0.4938374534353369,1593.8551499999885,1587.8462609869894,1588.3559646039794,,1588.934424999985,1593.2444249999826,1593.742569,1589.1547999999893,1593.6050249999826
116,sun,TRUE,,0,2.178619427000058,0.3461666666616414,80590.87385,,0.9672563848306284,0.3090157063728663,1600.238324999984,1596.5058627329854,1596.8411991689936,,1597.6034249999939,1599.8144249999896,1600.3421191829839,1597.7712749999919,1599.8213999999862
117,bOval,TRUE,,0,1.1971893260001707,0.31142857142591046,80597.20788,,0.6370316978137057,0.47708734624410254,1605.4383249999955,1602.368902807997,1602.8622873799904,,1603.954424999989,1605.1444249999913,1605.6698326859914,1604.105299999981,1605.1715749999858
118,monkey3,TRUE,,0,5.125842252999973,1,80602.97425,,0.9872838494678826,0.6333246320369899,1615.5384499999927,1608.0393021429918,1608.7036860249937,,1609.704424999989,1614.823424999995,1615.3686472309928,1609.8716749999876,1615.1574499999842
119,sun,FALSE,joystick pulled for incorrect amount of time,0,1.9992550370000117,0,80612.3911,,0.6920001582700714,0.3878872052759892,1621.6384999999864,1618.108374791991,1618.5137556869886,,1619.0444249999855,1621.0244249999814,,1619.2885249999817,1621.0718999999954
120,sun,FALSE,joystick pulled for incorrect amount of time,0,1.9886074580001605,0,80626.32473,,0.5909340399133928,0.3338797672601692,1629.6558499999956,1627.8803285909817,1628.2408817169926,1635.9722249999904,1633.0634249999857,1635.053424999991,,1633.2221499999869,1635.022174999991
121,monkey3,TRUE,,0,5.477350053999999,1,80638.14183,,0.5774312486643361,0.6231271094410026,1650.9726249999949,1641.9658279369905,1642.609841235986,,1644.8244249999843,1650.283424999987,1650.8417053989833,1645.039249999987,1650.58925
122,monkey3,TRUE,,0,4.7789245390001724,1,80652.24188,,0.7359047590302161,0.9598623396325707,1664.339599999992,1653.6360740039818,1654.6000258479908,,1658.974424999993,1663.7344249999878,1664.2620662189875,1659.1392999999953,1664.0727749999933
123,bOval,TRUE,,0,0.9584916339999836,0.5742857142783967,80665.24225,,0.9926475567697604,0.8266196486907276,1667.8063999999868,1667.2713810489804,1668.1041159609886,,1671.8634249999886,1672.823424999995,1673.3251925609802,1672.139674999984,1672.789574999988
124,sun,TRUE,,0,2.361689528999932,0.49550000000842076,80674.02563,,0.8698300429615582,0.5649567735474141,1683.7232499999955,1675.849355510989,1676.4541557740013,,1680.7744249999814,1683.1134249999886,1683.6479227759992,1680.923049999983,1683.3066999999864
125,monkey3,TRUE,,0,4.8314867489998505,1,80686.40948,,0.7334841363776514,0.7146825194172917,1698.5401999999885,1685.9626304129924,1686.6984833909955,,1693.0634249999857,1697.8944249999913,1698.4347657280014,1693.3068999999814,1698.2071249999863
126,bOval,FALSE,joystick pulled for incorrect amount of time,0,1.3654237499999908,0,80700.59313,,0.6075924144774298,0.4769523946915636,1703.240124999982,1701.1306342939788,1701.620062551985,,1707.1734249999863,1708.5234249999921,,1707.4905499999877,1708.4736749999865
127,monkey3,FALSE,joystick pulled for incorrect amount of time,0,1.0794290500000443,0,80711.44308,,0.8786762299763415,0.8926719946195198,1720.0075749999814,1715.6309493979788,1716.5347140679805,,1718.0934249999846,1719.1934249999904,,1718.3404999999912,1719.542574999985
128,monkey3,TRUE,,0,5.006553277999956,1,80720.49315,,0.7669426851165864,0.8824756285042374,1726.1740999999893,1726.223383005985,1727.124044376993,,1727.1334249999927,1732.1534249999822,1732.6796522959921,1727.390574999983,1732.674199999994
129,sun,TRUE,,0,2.3628718319998825,0.5316666666782112,80730.42675,,0.5088146669159841,0.6902678856079574,1740.191049999994,1735.2612150829955,1735.985902742992,,1737.1534249999822,1739.5234249999921,1740.0408691899938,1737.324174999987,1739.590899999981
130,monkey3,TRUE,,0,4.891488037999807,1,80741.84378,,0.99337372,0.8643596620917589,1754.1746999999887,1742.6329043929873,1743.510709121998,,1748.5834249999898,1753.4724249999854,1753.9914652499865,1748.7411999999895,1753.9082999999955
131,bOval,TRUE,,0,1.0487678320000668,0.48285714284782955,80754.84385,,0.7138634534126598,0.35504013129270845,1757.7412999999942,1756.797325017993,1757.1809323599882,,1761.5134249999828,1762.553424999991,1763.1334434799937,1761.741274999993,1762.6412749999872
132,bOval,TRUE,,0,0.8376437389999865,0.6782857142787958,80762.97735,,0.9140439002557198,0.9847351769290094,1770.991624999995,1765.574546763979,1766.609782104977,,1769.6534249999822,1770.5224249999883,1771.0088238309836,1769.8747749999893,1770.5748999999923
133,bOval,TRUE,,0,0.8415695480000522,0.6885714285674371,80770.11108,,0.6974654627400313,0.5764646638432029,1778.0586999999941,1773.4365037579846,1774.030045189982,,1776.803424999991,1777.6434249999875,1778.1742546369787,1777.0084999999817,1777.6916499999934
134,bOval,TRUE,,0,1.0908999929999936,0.4371428571408614,80778.71133,,0.7884193567098631,0.7352631283032008,1786.941949999993,1780.7250348449888,1781.4999098429835,,1785.4534249999851,1786.533424999987,1787.099055744984,1785.6087499999849,1786.6086999999825
135,bOval,TRUE,,0,0.844941409,0.6885714285674371,80791.128,,0.5081173154204789,0.6589011413291428,1793.7088999999833,1789.0538502469863,1789.7347875259875,,1797.8634249999886,1798.7034249999851,1799.2300811179884,1798.0254249999853,1798.6921749999892
136,monkey3,TRUE,,0,4.913989163000224,1,80799.26175,,0.9972479809199183,0.6646286871681164,1802.4591749999818,1801.9483991269808,1802.6210560009786,,1805.9124249999877,1810.8424249999953,1811.3559484819853,1806.1591749999934,1811.2757999999885
137,monkey3,TRUE,,0,4.5002306450001015,0.9984000000171365,80812.162,,0.7774714315673659,0.696327257,1824.1096999999863,1814.2234891009866,1814.9492644119891,,1818.7934249999817,1823.2924249999924,1823.8264635919913,1819.059424999985,1823.825949999984
138,sun,TRUE,,0,2.3274235240000962,0.4966666666625922,80822.74528,,0.6880938652655981,0.822977065,1826.5925249999855,1826.5461012489832,1827.4209552069806,,1829.4724249999854,1831.8124249999819,1832.3770406089898,1829.6426999999821,1831.8260249999876
139,sun,TRUE,,0,2.043752091999977,0.14550000000502528,80833.54565,,0.7636077327783721,0.9566528861901236,1834.0597499999858,1834.678871,1835.6500176449917,,1840.283424999987,1842.3224249999912,1842.8852565209818,1840.4430749999883,1842.326424999992
140,bOval,TRUE,,0,1.0192929100001038,0.5171428571488441,80843.87888,,0.679427112,0.5175649861809266,1851.9265499999892,1844.7957516549795,1845.3134451619844,,1850.5424249999924,1851.5524249999871,1852.0974190829875,1850.7762999999832,1851.5431499999831
141,monkey3,TRUE,,0,4.237506265000093,0.6304000000003726,80848.89575,,0.7093224822412244,0.9612803384798456,1861.02675,1854.3630206389935,1855.3268866679864,,1855.5634249999857,1859.832424999986,1860.368965800997,1855.7931749999843,1860.6767499999842
142,monkey3,TRUE,,0,4.895464594000032,1,80859.29595,,0.779917091,0.6967442683363978,1871.4770249999856,1862.8451983319828,1863.5552518789918,,1865.8424249999953,1870.7424249999895,1871.2844974109903,1866.193374999988,1871.1606499999907
143,bOval,TRUE,,0,0.679820547,0.5057142857229336,80872.57968,,0.8113868622579588,0.9800754116519905,1875.6103999999905,1874.1739487709856,1875.1575131189893,,1879.3124249999819,1879.9924249999895,1880.5450194699952,1879.4770999999892,1879.9457499999844
144,monkey3,TRUE,,0,5.324802327000043,1,80877.59638,,0.9785399590560471,0.9422392866819682,1890.2110249999823,1883.0446091299818,1884.0011330129928,,1884.1624249999877,1889.5024249999842,1890.012259842988,1884.493799999982,1889.8959749999922
